,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Phone,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Phone,rtable_Cuisines,rtable_Take Out,label
552,552,1371,1838,baker & co,259 bleecker st ,"259 bleecker st new york city, ny 10014-4103",+1 212-255-1234,Italian;European;Vegetarian Friendly,Yes,baker & co,259 bleecker st,259 bleecker stnew york ny 10014,(212) 255-1234,Italian;Breakfast & Brunch;Wine Bars,Yes,1
555,555,1382,2593,bar fortuna,62 w 9th st ,"62 w 9th st new york city, ny 10011-8907",+1 212-353-8400,Italian;Bar;Pub,No,bar fortuna,62 w 9th st,62 w 9th stnew york ny 10011,(212) 353-8400,Cocktail Bars,No,1
557,557,1390,2874,nobu,195 broadway ,"195 broadway new york city, ny 10007-3100",+1 212-219-0500,Japanese;Seafood;Sushi,No,nobu downtown,195 broadway,195 broadwaynew york ny 10007,(212) 219-0500,Japanese;Sushi Bars;Wine Bars,No,1
558,558,1396,1797,barney greengrass,541 amsterdam ave ,"541 amsterdam ave new york city, ny 10024-2803",+1 212-724-4707,American;Delicatessen;Vegetarian Friendly,Yes,barney greengrass,541 amsterdam ave,541 amsterdam avenew york ny 10024,(212) 724-4707,Specialty Food;Delis;Bagels,Yes,1
570,570,1425,2014,the modern,9 w 53rd st ,"9 w 53rd st new york city, ny 10019-5401",+1 212-333-1220,French;American;Vegetarian Friendly,No,the modern,9 w 53rd st,9 w 53rd stnew york ny 10019,(212) 333-1220,American (New),No,1
579,579,1430,2601,new leaf restaurant & bar,1 margaret corbin dr ,"1 margaret corbin dr new york city, ny 10040-3761",+1 212-568-5323,American;Vegetarian Friendly;Gluten Free Options,No,new leaf restaurant & bar,1 margaret corbin dr,1 margaret corbin drnew york ny 10040,(212) 568-5323,Bars;American (New);Venues & Event Spaces,Yes,1
581,581,1435,2700,alcala,246 e 44th st ,"246 e 44th st new york city, ny 10017-4357",+1 212-370-1866,Mediterranean;Spanish;Vegetarian Friendly,No,alcala restaurant,246 e 44th st,246 e 44th stnew york ny 10017,(212) 370-1866,Spanish;Basque,Yes,1
585,585,1445,1905,club a steakhouse,240 e 58th street ,"240 e 58th street new york city, ny 10022-2001",+1 212-688-4190,American;Steakhouse;Gluten Free Options,Yes,club a steakhouse,240 e 58th st,240 e 58th stnew york ny 10022,(212) 688-4190,Steakhouses,Yes,1
588,588,1463,2865,the palm tribeca,206 west st ,"206 west st new york city, ny 10282-2101",+1 646-395-6393,American;Steakhouse;Gluten Free Options,No,the palm tribeca,206 west st,206 west stnew york ny 10282,(646) 395-6393,Steakhouses;Seafood,Yes,1
591,591,1474,2760,the park room at the helmsley park lane hotel,36 central park s ,"36 central park s new york city, ny 10019-1600",+1 212-521-6655,American,No,the park room,36 central park s,36 central park snew york ny 10019,(212) 371-4000,American (New),No,1
593,593,1481,2301,hasaki,210 e 9th st ,"210 e 9th st new york city, ny 10003-7531",+1 212-473-3327,Japanese;Sushi;Asian,No,hasaki,210 e 9th stbasement,210 e 9th stbasementnew york ny 10003,(212) 473-3327,Sushi Bars;Japanese,Yes,1
595,595,1500,2096,fabio cucina italiana,214 e 52nd st ,"214 e 52nd st new york city, ny 10022-6207",+1 212-688-5200,Italian;Vegetarian Friendly;Gluten Free Options,Yes,fabio cucina italiana,214 e 52nd st,214 e 52nd stnew york ny 10022,(212) 688-5200,Italian,Yes,1
596,596,1504,3018,gotham bar & grill,12 e 12th st ,"12 e 12th st new york city, ny 10003-4428",+1 212-620-4020,American;Vegetarian Friendly;Vegan Options,No,gotham bar and grill,12 e 12th st,12 e 12th stnew york ny 10003,(212) 620-4020,American (New);Bars,No,1
598,598,1511,2472,remi,145 w 53rd st ,"145 w 53rd st new york city, ny 10019-6005",+1 212-581-4242,Italian;European;Mediterranean,No,remi,145 w 53rd st,145 w 53rd stnew york ny 10019,(212) 581-4242,Italian;Wine Bars;Gluten-Free,Yes,1
602,602,1519,2321,da noi,214 e 49th st ,"214 e 49th st new york city, ny 10017-1565",+1 212-754-5710,Italian;Vegetarian Friendly;Gluten Free Options,Yes,da noi,214 e 49th st,214 e 49th stnew york ny 10017,(212) 754-5710,Italian;Venues & Event Spaces,Yes,1
603,603,1522,599,noodle village,13 mott st ,"13 mott st new york city, ny 10013-5025",+1 212-233-0788,Chinese;Asian;Vegetarian Friendly,Yes,noodle village,13 mott st,13 mott stnew york ny 10013,(212) 233-0788,Chinese;Noodles,Yes,1
605,605,1537,119,tac n roll,124 e 4th st ,"124 e 4th st new york city, ny 10003-0706",+1 212-353-0800,Mexican;Fast Food;International,Yes,tac n roll,124 e 4th st,124 e 4th stnew york ny 10003,(212) 353-0800,Tacos;Sandwiches;Desserts,Yes,1
607,607,1538,2964,omakase room by tatsu,14 christopher st ,"14 christopher st new york city, ny 10014-3523",+1 212-367-2067,Japanese,No,omakase room by tatsu,14 christopher st,14 christopher stnew york ny 10014,(212) 367-2067,Sushi Bars;Japanese,No,1
609,609,1543,1430,la isla restaurant,"104 washington st hoboken, nj 07030-460","104 washington st hoboken, nj 07030-4604",+1 201-659-8197,Caribbean;Latin;Spanish,Yes,la isla restaurant,104 washington sthoboken ,104 washington sthoboken nj 07030,(201) 659-8197,Cuban,Yes,1
611,611,1548,169,num pang sandwich shop,28 e 12th st ,"28 e 12th st new york city, ny 10003-4448",+1 646-791-0439,,No,num pang kitchen,28 e 12th st,28 e 12th stnew york ny 10003,(646) 791-0439,Cambodian;Sandwiches,Yes,1
613,613,1549,1447,uva,1486 2nd ave ,"1486 2nd ave new york city, ny 10075-1399",+1 212-472-4552,Italian;Wine Bar;Vegetarian Friendly,No,uva,1486 2nd ave,1486 2nd avenew york ny 10075,(212) 472-4552,Italian;Wine Bars,Yes,1
614,614,1552,1914,la sirene,558 broome st ,"558 broome st new york city, ny 10013-1508",+1 212-925-3061,French;European,No,la sirene,558 broome st,558 broome stnew york ny 10013,(212) 925-3061,French,No,1
617,617,1558,186,saigon shack,114 macdougal st ,"114 macdougal st new york city, ny 10012-1245",+1 212-228-0588,Asian;Vietnamese;Vegetarian Friendly,Yes,saigon shack,114 macdougal st,114 macdougal stnew york ny 10012,(212) 228-0588,Sandwiches;Coffee & Tea;Salad,Yes,1
619,619,1567,2950,sushi of gari 46,347 w 46th st ,"347 w 46th st new york city, ny 10036-3815",+1 212-957-0046,Japanese;Sushi;Asian,Yes,sushi of gari 46,347 w 46th st,347 w 46th stnew york ny 10036,(212) 957-0046,Sushi Bars;Japanese,Yes,1
623,623,1576,3151,le colonial,149 e 57th st ,"149 e 57th st new york city, ny 10022-2101",+1 212-752-0808,Vietnamese;Vegetarian Friendly;Gluten Free Options,Yes,le colonial,149 e 57th st,149 e 57th stnew york ny 10022,(212) 752-0808,Vietnamese;Lounges,Yes,1
624,624,1578,2698,wolf & lamb steakhouse,16 e 48th st ,"16 e 48th st new york city, ny 10017-1008",+1 212-317-1950,Steakhouse;Kosher,Yes,wolf & lamb steakhouse,10 e 48th st,10 e 48th stnew york ny 10017,(212) 317-1950,Steakhouses;Kosher;American (Traditional),Yes,1
625,625,1579,2717,michael's,24 w 55th st ,"24 w 55th st new york city, ny 10019-5456",+1 212-767-0555,American;Contemporary;Gluten Free Options,No,michael’s,24 w 55th st,24 w 55th stnew york ny 10019,(212) 767-0555,American (New);Salad;Pizza,Yes,1
627,627,1586,2018,al di la trattoria,"248 5th ave brooklyn, ny 11215-120","248 5th ave brooklyn, ny 11215-1201",+1 718-636-8888,Italian;Vegetarian Friendly;Gluten Free Options,No,al di la trattoria,248 5th avebrooklyn ,248 5th avebrooklyn ny 11215,(718) 783-4565,Italian,No,1
628,628,1588,1463,westville east,173 avenue a ,"173 avenue a new york city, ny 10009-4501",+1 212-677-2033,American;Vegetarian Friendly;Gluten Free Options,Yes,westville - east,173 ave a,173 ave anew york ny 10009,(212) 677-2033,American (Traditional);Beer Bar;Bakeries,Yes,1
629,629,1595,2217,hearth,403 e 12th st ,"403 e 12th st new york city, ny 10009-4024",+1 646-602-1300,American;Vegetarian Friendly;Gluten Free Options,No,hearth,403 e 12th st,403 e 12th stnew york ny 10009,(646) 602-1300,American (New);Italian;Breakfast & Brunch,No,1
630,630,1597,535,manitoba's,99 avenue b ,"99 avenue b new york city, ny 10009-6210",+1 212-982-2511,,No,manitoba’s,99 ave b,99 ave bnew york ny 10009,(212) 982-2511,Bars,No,1
633,633,1612,262,joe's pizza,150 e 14th st ,"150 e 14th st new york city, ny 10003-4170",+1 212-388-9474,Italian;Pizza;Fast Food,Yes,joe’s pizza,150 e 14th st,150 e 14th stnew york ny 10003,(212) 388-9474,Pizza,Yes,1
635,635,1613,2918,kajitsu,125 e 39th st ,"125 e 39th st new york city, ny 10016-0960",+1 212-228-4873,Japanese;Asian;Vegetarian Friendly,No,kajitsu,125 e 39th st,125 e 39th stnew york ny 10016,(212) 228-4873,Japanese;Vegetarian;Vegan,No,1
636,636,1614,2637,monkey bar,60 e 54th st ,"60 e 54th st new york city, ny 10022-4612",+1 212-486-2408,American;Bar;Contemporary,No,monkey bar,60 e 54th st,60 e 54th stnew york ny 10022,(212) 288-1010,American (Traditional);Bars,No,1
640,640,1629,2849,the view restaurant & lounge,1535 broadway ,"1535 broadway new york city, ny 10036-4077",+1 212-704-8900,American;International;Vegetarian Friendly,No,the view restaurant & lounge,1535 broadway,1535 broadwaynew york ny 10036,(212) 704-8900,Lounges;American (New),No,1
646,646,1653,1361,piccoli trattoria,"522 6th ave brooklyn, ny 11215-677","522 6th ave brooklyn, ny 11215-6776",+1 718-788-0066,Italian;Gluten Free Options;Vegetarian Friendly,No,piccoli trattoria,522 6th avebrooklyn ,522 6th avebrooklyn ny 11215,(718) 788-0066,Italian;Wine Bars;Breakfast & Brunch,Yes,1
655,655,1700,2415,fig & olive fifth avenue,10 e 52nd st ,"10 e 52nd st new york city, ny 10022-5308",+1 212-319-2002,Mediterranean;European;Vegetarian Friendly,No,fig & olive - new york,10 e 52nd st,10 e 52nd stnew york ny 10022,(212) 319-2002,Mediterranean;French;Vegetarian,Yes,1
656,656,1707,2373,isle of capri,1028 3rd ave ,"1028 3rd ave new york city, ny 10065-8502",+1 212-758-1828,Italian;Vegetarian Friendly;Gluten Free Options,No,isle of capri,1028 3rd ave,1028 3rd avenew york ny 10065,(212) 223-9430,Italian,Yes,1
657,657,1708,2120,vatan,409 3rd ave ,"409 3rd ave new york city, ny 10016-8103",+1 212-689-5666,Indian;Healthy;Vegetarian Friendly,No,vatan indian vegetarian,409 3rd ave,409 3rd avenew york ny 10016,(212) 689-5666,Indian;Vegetarian;Kosher,No,1
658,658,1718,562,pizza hut,2 penn plz ,"2 penn plz new york city, ny 10121-0101",+1 212-643-9043,,Yes,krispy kreme,2 penn plz,2 penn plznew york ny 10121,(212) 695-0428,Donuts;Coffee & Tea,Yes,0
660,660,1729,176,saigon vietnamese sandwich,369 broome st ,"369 broome st new york city, ny 10013-4244",+1 212-219-8341,Asian;Vietnamese;Fast Food,No,saigon vietnamese sandwich deli,369 broome st,369 broome stnew york ny 10013,(212) 219-8341,Sandwiches;Vietnamese,Yes,1
661,661,1732,158,la margarita pizza,151 ludlow st ,"151 ludlow st new york city, ny 10002-2206",+1 212-228-1233,Italian;Pizza;Fast Food,Yes,la margarita pizza,168 ludlow st,168 ludlow stnew york ny 10002,(917) 261-4983,Pizza,Yes,0
663,663,1736,2220,chimichurri grill,609 9th ave ,"609 9th ave new york city, ny 10036-3700",+1 212-586-8655,Steakhouse;Latin;Argentinean,No,chimichurri grill,609 9th ave,609 9th avenew york ny 10036,(212) 586-8655,Latin American;Steakhouses;Argentine,Yes,1
665,665,1742,954,&pizza,15 w 28th st ,"15 w 28th st new york city, ny 10001-6410",+1 646-968-4634,Pizza,No,&pizza,15 w 28th st,15 w 28th stnew york ny 10001,(646) 968-4634,Pizza;Vegan;Vegetarian,Yes,1
671,671,1756,1204,hometown bar-b-que,"454 van brunt st brooklyn, ny 11231-101","454 van brunt st brooklyn, ny 11231-1015",+1 347-294-4644,American;Southwestern;Barbecue,Yes,hometown bar-b-que,454 van brunt stbrooklyn ,454 van brunt stbrooklyn ny 11231,(347) 294-4644,Barbeque;Smokehouse,Yes,1
673,673,1760,72,juicology,387 8th ave ,"387 8th ave new york city, ny 10001-4811",+1 212-695-8423,Healthy,No,juicology,387 8th ave,387 8th avenew york ny 10001,(212) 695-0628,Salad;Juice Bars & Smoothies;Sandwiches,Yes,1
674,674,1761,2303,villa berulia,107 e 34th st ,"107 e 34th st new york city, ny 10016-4601",+1 212-689-1970,Croatian;Italian;European,Yes,villa berulia,107 e 34th st,107 e 34th stnew york ny 10016,(212) 689-1970,Italian,Yes,1
680,680,1790,2319,la pizza & la pasta,200 5th ave ,"200 5th ave new york city, ny 10010-3302",+1 212-229-2560,Italian;Pizza;Vegetarian Friendly,Yes,manzo ristorante,200 5th ave,200 5th avenew york ny 10010,(212) 229-2180,Italian,No,0
685,685,1798,1350,harlem public,3612 broadway ,"3612 broadway new york city, ny 10031-3219",+1 212-939-9404,American;Bar;Pub,No,harlem public,3612 broadway,3612 broadwaynew york ny 10031,(212) 939-9404,American (New);Pubs,Yes,1
686,686,1798,1645,harlem public,3612 broadway ,"3612 broadway new york city, ny 10031-3219",+1 212-939-9404,American;Bar;Pub,No,at the wallace,3612 broadway,3612 broadwaynew york ny 10031,(212) 234-6896,Sports Bars;American (Traditional);Hot Dogs,Yes,0
687,687,1800,1444,marcha,4055 broadway ,"4055 broadway new york city, ny 10032-1516",+1 212-928-8272,Spanish,No,marcha cocina,4055 broadway,4055 broadwaynew york ny 10032,(212) 928-8272,Tapas Bars;Tapas/Small Plates;Spanish,Yes,1
689,689,1802,917,briciola,370 w 51st st ,"370 w 51st st new york city, ny 10019-6403",+1 646-678-5763,Italian;Vegetarian Friendly,No,b side pizza & wine bar,370 w 51st st,370 w 51st stnew york ny 10019,(646) 679-7225,Pizza;Italian;Wine Bars,Yes,0
692,692,1811,2405,tipsy parson,156 9th ave ,"156 9th ave new york city, ny 10011-4925",+1 212-620-4545,American;Gluten Free Options;Vegetarian Friendly,No,tipsy parson,156 9th ave,156 9th avenew york ny 10011,(212) 620-4545,American (New);Comfort Food;Cocktail Bars,Yes,1
694,694,1815,3079,cecconi's dumbo,"55 water st brooklyn, ny 11201-105","55 water st brooklyn, ny 11201-1052",+1 718-650-3900,Italian;European;Vegetarian Friendly,No,cecconi’s dumbo,55 water stbrooklyn ,55 water stbrooklyn ny 11201,(718) 650-3900,Italian;Breakfast & Brunch;Bars,No,1
695,695,1816,1899,haven rooftop,132 w 47th st ,"132 w 47th st new york city, ny 10036-1502",+1 212-466-9000,American;Bar;Vegetarian Friendly,No,sushi by bou,132 w 47th st,132 w 47th stnew york ny 10036,(917) 348-5737,Sushi Bars;Japanese,No,0
696,696,1817,1871,piccola cucina,196 spring st ,"196 spring st new york city, ny 10012-3621",+1 646-478-7488,Italian;Mediterranean;Vegetarian Friendly,Yes,piccola cucina osteria,196 spring st,196 spring stnew york ny 10012,(646) 478-7488,Italian,Yes,1
700,700,1826,3119,fred's at barneys new york,660 madison ave ,"660 madison ave new york city, ny 10065-8405",+1 212-833-2200,American;Vegetarian Friendly;Vegan Options,No,freds madison avenue,660 madison avefl 9,660 madison avefl 9new york ny 10065,(212) 833-2200,American (New);Breakfast & Brunch,Yes,1
701,701,1828,1191,cafe ollin,339 e 108th st ,"339 e 108th st new york city, ny 10029-4252",+1 212-828-3644,Mexican;Latin;Spanish,No,café ollin,339 e 108th st,339 e 108th stnew york ny 10029,(212) 828-3644,Mexican;Latin American,Yes,1
704,704,1829,2982,barilla restaurants,1065 avenue of the americas ,"1065 avenue of the americas new york city, ny 10018-1878",+1 646-665-3816,Italian;Pizza;Mediterranean,Yes,mastro’s steakhouse,1285 avenue of the americas,1285 avenue of the americasnew york ny 10019,(212) 459-1222,Steakhouses,No,0
708,708,1841,3060,pies-n-thighs,43 canal st ,"43 canal st new york city, ny 10002-6262",+1 212-431-7437,American,Yes,cervo’s,43 canal st,43 canal stnew york ny 10002,(212) 226-2545,Seafood,No,0
711,711,1845,2007,employees only,510 hudson st ,"510 hudson st new york city, ny 10014-2854",+1 212-242-3021,American;Bar;International,No,employees only,510 hudson st,510 hudson stnew york ny 10014,(212) 242-3021,American (New);Diners;Cocktail Bars,No,1
717,717,1862,2702,arno ristorante,141 w 38th st ,"141 w 38th st new york city, ny 10018-5074",+1 212-944-7420,Italian;Vegetarian Friendly;Vegan Options,No,arno ristorante,141 w 38th st,141 w 38th stnew york ny 10018,(212) 944-7420,Italian;Wine Bars,Yes,1
720,720,1866,2386,korali,1662 3rd ave ,"1662 3rd ave new york city, ny 10128-3703",+1 646-964-5470,Mediterranean;Greek;Seafood,Yes,korali estiatorio,1662 3rd ave,1662 3rd avenew york ny 10128,(646) 964-5470,Greek;Mediterranean;Seafood,Yes,1
721,721,1867,2671,bagatelle,1 little west 12th st ,"1 little west 12th st new york city, ny 10014-1302",+1 212-488-2110,French;Vegetarian Friendly,No,bagatelle,1 little w 12th st,1 little w 12th stnew york ny 10014,(212) 488-2110,French;Lounges;Mediterranean,No,1
722,722,1873,424,crif dogs,113 saint marks pl ,"113 saint marks pl new york city, ny 10009-5161",+1 212-614-2728,American;Fast Food,Yes,crif dogs,113 saint marks pl,113 saint marks plnew york ny 10009,(212) 614-2728,Hot Dogs;American (New),Yes,1
724,724,1876,1588,the flying cock,497 3rd ave ,"497 3rd ave new york city, ny 10016-4854",+1 212-689-6900,American;Bar;Pub,Yes,the flying cock pub,497 3rd ave,497 3rd avenew york ny 10016,(212) 689-6900,Pubs;Breakfast & Brunch,Yes,1
725,725,1879,165,punjabi grocery & deli,114 1st ave ,"114 1st ave new york city, ny 10009-5726",+1 212-533-3356,Indian;Delicatessen;Vegetarian Friendly,No,punjabi grocery & deli,114 e 1st st,114 e 1st stnew york ny 10009,(212) 533-3356,Indian;Grocery;Delis,Yes,1
727,727,1883,1215,lic market,"2152 44th dr long island city, ny 11101-471","2152 44th dr long island city, ny 11101-4710",+1 718-361-0013,American;International;Vegetarian Friendly,Yes,lic market,21-52 44th drlong island city ,21-52 44th drlong island city ny 11101,(718) 361-0013,Breakfast & Brunch;American (New);Bars,Yes,1
735,735,1910,1169,capizzi,547 9th ave ,"547 9th ave new york city, ny 10018-1324",+1 212-695-6900,Italian;Pizza;Vegetarian Friendly,Yes,capizzi,547 9th ave,547 9th avenew york ny 10018,(212) 695-6900,Pizza,Yes,1
739,739,1915,2399,the smith,1900 broadway ,"1900 broadway new york city, ny 10023-7004",+1 212-496-5700,American;Bar;Vegetarian Friendly,Yes,cafe fiorello,1900 broadway,1900 broadwaynew york ny 10023,(212) 595-5330,Italian;Pizza;American (Traditional),Yes,0
742,742,1920,1269,ootoya,8 w 18th st ,"8 w 18th st new york city, ny 10011-4602",+1 212-704-0833,Japanese;Asian;Vegetarian Friendly,No,ootoya chelsea,8 w 18th st,8 w 18th stnew york ny 10011,(212) 255-0018,Japanese;Sushi Bars,No,1
743,743,1923,5,tuck shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-255-2021,Australian,Yes,los tacos no.1,75 9th ave,75 9th avenew york ny 10011,(212) 256-0343,Mexican,Yes,0
744,744,1923,6,tuck shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-255-2021,Australian,Yes,chelsea market,75 9th ave,75 9th avenew york ny 10011,(212) 652-2110,Public Markets,No,0
745,745,1923,213,tuck shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-255-2021,Australian,Yes,ninth street espresso,75 9th ave,75 9th avenew york ny 10011,(212) 228-2930,Coffee & Tea;Cafes,Yes,0
750,750,1923,1549,tuck shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-255-2021,Australian,Yes,dizengoff nyc,75 9th ave,75 9th avenew york ny 10011,(646) 833-7097,Middle Eastern,Yes,0
754,754,1929,6,the green table,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-741-6623,Bar;American;Vegetarian Friendly,No,chelsea market,75 9th ave,75 9th avenew york ny 10011,(212) 652-2110,Public Markets,No,0
755,755,1929,213,the green table,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-741-6623,Bar;American;Vegetarian Friendly,No,ninth street espresso,75 9th ave,75 9th avenew york ny 10011,(212) 228-2930,Coffee & Tea;Cafes,Yes,0
762,762,1930,2388,the dutch,131 sullivan st ,"131 sullivan st new york city, ny 10012-3043",+1 212-677-6200,Seafood;American;Contemporary,No,the dutch,131 sullivan st,131 sullivan stnew york ny 10012,(212) 677-6200,American (Traditional),Yes,1
763,763,1939,2276,bill's townhouse,57 e 54th st ,"57 e 54th st new york city, ny 10022-4206",+1 212-518-2727,American;Vegetarian Friendly;Gluten Free Options,No,bill’s townhouse,57 e 54th st,57 e 54th stnew york ny 10022,(212) 518-2727,American (New);Salad;Sandwiches,No,1
764,764,1940,1890,freda's,993 columbus ave ,"993 columbus ave new york city, ny 10025-2502",+1 646-438-9832,Caribbean;Jamaican,Yes,freda’s caribbean & soul cuisine,993 columbus ave,993 columbus avenew york ny 10025,(929) 267-4459,Caribbean;Soul Food,Yes,1
765,765,1943,2892,smith & wollensky,797 3rd ave ,"797 3rd ave new york city, ny 10022-6226",+1 212-753-1530,American;Steakhouse;Gluten Free Options,No,smith & wollensky,797 3rd ave,797 3rd avenew york ny 10022,(212) 753-1530,Steakhouses,No,1
766,766,1950,2366,the breslin,16 w 29th st ,"16 w 29th st new york city, ny 10001-4502",+1 212-679-1939,American;Bar;Gastropub,No,the breslin,16 w 29th st,16 w 29th stnew york ny 10001,(212) 679-1939,Pubs;Gastropubs;Breakfast & Brunch,No,1
767,767,1951,2542,butter midtown,70 w 45th st ,"70 w 45th st new york city, ny 10036-4202",+1 212-253-2828,American;Vegetarian Friendly;Vegan Options,No,butter midtown,70 w 45th st,70 w 45th stnew york ny 10036,(212) 253-2828,American (New),Yes,1
772,772,1958,2227,llama inn,"50 withers st brooklyn, ny 11211-121","50 withers st brooklyn, ny 11211-1214",+1 718-387-3434,Peruvian;Latin;Vegetarian Friendly,No,llama inn,50 withers stbrooklyn ,50 withers stbrooklyn ny 11211,(718) 387-3434,Peruvian;Bars,No,1
778,778,1974,2967,strip house,13 e 12th st ,"13 e 12th st new york city, ny 10003-4404",+1 212-838-9197,American;Steakhouse;Gluten Free Options,No,strip house,13 e 12th st,13 e 12th stnew york ny 10003,(212) 328-0000,Steakhouses;Seafood,No,1
779,779,1976,1560,trattoria belvedere,165 lexington ave ,"165 lexington ave new york city, ny 10016-0008",+1 212-684-8805,Italian;Gluten Free Options,Yes,trattoria belvedere,165 lexington ave,165 lexington avenew york ny 10016,(212) 684-8805,Italian;Seafood,Yes,1
785,785,2000,2506,le rivage,340 w 46th st ,"340 w 46th st new york city, ny 10036-3928",+1 212-765-7374,French;European;Vegetarian Friendly,No,le rivage,340 w 46th st,340 w 46th stnew york ny 10036,(212) 765-7374,French,No,1
788,788,2011,1967,oiji,119 1st ave ,"119 1st ave new york city, ny 10003-2963",+1 646-767-9050,Asian;Korean;Contemporary,No,oiji,119 1st ave,119 1st avenew york ny 10003,(646) 767-9050,Korean,No,1
789,789,2015,103,fat cat kitchen,223 e 14th st ,"223 e 14th st new york city, ny 10003-4120",+1 212-235-1994,American;Cafe;Vegetarian Friendly,Yes,fat cat kitchen,223 e 14th st,223 e 14th stnew york ny 10003,(212) 235-1994,Sandwiches;Bakeries;Coffee & Tea,Yes,1
790,790,2016,3003,sant andrea cafe,40 central park s ,"40 central park s new york city, ny 10019-1633",+1 212-369-4000,Italian,No,marea,240 central park s,240 central park snew york ny 10019,(212) 582-5100,Seafood;Bars,No,0
794,794,2018,1437,manna's soul food restaurant,2331 frederick douglass blvd ,"2331 frederick douglass blvd new york city, ny 10027-3627",+1 212-749-9084,American;Vegetarian Friendly,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,(646) 490-8575,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
796,796,2025,2027,bowery meat,9 e 1st st ,"9 e 1st st new york city, ny 10003-8901",+1 212-460-5255,American;Steakhouse;Gluten Free Options,No,bowery meat company,9 e 1st st,9 e 1st stnew york ny 10003,(212) 460-5255,Steakhouses,Yes,1
797,797,2026,478,burrito box,885 9th ave ,"885 9th ave new york city, ny 10019-1700",+1 212-489-6889,Mexican;Fast Food;Vegetarian Friendly,Yes,the burrito box,885 9th ave,885 9th avenew york ny 10019,(212) 489-6889,Mexican,Yes,1
798,798,2027,1182,balade - your way,144 w 37th st ,"144 w 37th st new york city, ny 10018-6910",+1 212-695-6969,Mediterranean;Middle Eastern;Lebanese,Yes,balade - your way,144 west 37th st,144 west 37th stnew york ny 10018,(212) 695-6969,Lebanese;Mediterranean,Yes,1
799,799,2030,1982,hatsuhana restaurant,17 e 48th st ste 1 ,"17 e 48th st ste 1 new york city, ny 10017-1010",+1 212-355-3345,Japanese;Sushi;Asian,Yes,hatsuhana sushi restaurant,17 e 48th st,17 e 48th stnew york ny 10017,(212) 355-3345,Japanese;Sushi Bars,Yes,1
800,800,2031,2590,paola's restaurant,madison avenue ,"madison avenue new york city, ny 10128",+1 212-794-1890,Italian;Vegetarian Friendly;Gluten Free Options,Yes,paola’s restaurant,1295 madison ave,1295 madison avenew york ny 10128,(212) 794-1890,Italian,Yes,1
801,801,2032,1612,the brindle room,277 e 10th st ,"277 e 10th st new york city, ny 10009-4825",+1 212-529-9702,American,Yes,brindle room,277 e 10th st,277 e 10th stnew york ny 10009,(212) 529-9702,American (New);Bars;Breakfast & Brunch,Yes,1
802,802,2040,2152,jack the horse tavern,"66 hicks st brooklyn, ny 11201-135","66 hicks st brooklyn, ny 11201-1355",,American;Gluten Free Options;Vegetarian Friendly,No,jack the horse tavern,66 hicks stbrooklyn ,66 hicks stbrooklyn ny 11201,(718) 852-5084,American (New);Desserts;Bars,Yes,1
803,803,2045,452,jimmy's corner,140 w 44th st ,"140 w 44th st new york city, ny 10036-4046",+1 212-221-9510,Pub,No,jimmy’s corner,140 w 44th st,140 w 44th stnew york ny 10036,(212) 221-9510,Sports Bars;Dive Bars,No,1
804,804,2049,65,n.y. dosas,50 washington sq s ,"50 washington sq s new york city, ny 10012-1018",+1 917-710-2092,Indian;Fast Food;Vegetarian Friendly,Yes,ny dosas,50 washington sq s,50 washington sq snew york ny 10014,(917) 710-2092,Indian;Food Stands;Vegetarian,Yes,1
809,809,2064,1889,sweetgreen,1164 broadway ,"1164 broadway new york city, ny 10001-7512",+1 646-449-8884,American;Fast Food;Healthy,Yes,sweetgreen,1164 broadway,1164 broadwaynew york ny 10001,(646) 449-8884,Salad;Vegetarian,Yes,1
810,810,2065,357,the uncommons,230 thompson st ,"230 thompson st new york city, ny 10012-1370",+1 646-543-9215,Cafe,No,the uncommons,230 thompson st,230 thompson stnew york ny 10012,(646) 543-9215,Coffee & Tea;Tabletop Games,Yes,1
817,817,2078,1627,radegast hall & biergarten,"113 n 3rd st brooklyn, ny 11249-392","113 n 3rd st brooklyn, ny 11249-3923",+1 718-963-3973,German;Bar;Brew Pub,Yes,radegast hall and biergarten,113 n 3rd stbrooklyn ,113 n 3rd stbrooklyn ny 11249,(718) 963-3973,Pubs;German;Venues & Event Spaces,Yes,1
818,818,2083,436,chipotle mexican grill,680 avenue of the americas ,"680 avenue of the americas new york city, ny 10010-5110",+1 212-206-3781,Mexican,No,chick-fil-a,1000 avenue of the americas,1000 avenue of the americasnew york ny 10018,(212) 704-9920,Fast Food,Yes,0
